add_vehicle,23-05-2026 22:41:10
add_vehicle,26-05-2026 02:05:29
add_employee,26-05-2026 02:06:49
add_customer,26-05-2026 02:07:07
add_customer,26-05-2026 02:09:52
remove_customer,26-05-2026 02:10:09
add_employee,26-05-2026 02:10:33
remove_employee,26-05-2026 02:10:39
add_vehicle,26-05-2026 02:11:01
remove_vehicle,26-05-2026 02:11:04
add_customer,26-05-2026 20:13:17
sell_vehicle,26-05-2026 20:14:10
add_vehicle,26-05-2026 20:23:00
sell_vehicle,26-05-2026 20:23:11
add_vehicle,26-05-2026 20:26:29
sell_vehicle,26-05-2026 20:26:46
add_vehicle,27-05-2026 03:35:50,main
add_employee,27-05-2026 03:36:51,main
add_customer,27-05-2026 03:37:31,main
sell_vehicle,27-05-2026 03:37:58,main
add_vehicle,27-05-2026 03:45:26,main
update_vehicle,27-05-2026 03:52:48,main
update_employee,27-05-2026 03:53:38,main
remove_customer,27-05-2026 03:54:12,main
add_vehicle,28-05-2026 16:30:17,main
remove_vehicle,28-05-2026 16:31:46,main
add_vehicle,28-05-2026 16:35:19,main
add_vehicle,28-05-2026 16:36:06,main
remove_vehicle,28-05-2026 16:37:14,main
add_vehicle,28-05-2026 16:37:43,main
filter_vehicle,28-05-2026 16:38:09,main
filter_vehicle,28-05-2026 16:38:18,main
filter_vehicle,28-05-2026 16:38:25,main
filter_vehicle,28-05-2026 16:38:36,main
search_vehicles,28-05-2026 16:38:46,main
search_vehicles,28-05-2026 16:38:51,main
search_vehicles,28-05-2026 16:38:56,main
search_vehicles,28-05-2026 16:39:03,main
search_vehicles,28-05-2026 16:39:13,main
add_vehicle,28-05-2026 16:39:42,main
search_vehicles,28-05-2026 16:40:20,main
update_vehicle,28-05-2026 16:40:56,main
compute_financing,28-05-2026 16:41:36,main
sell_vehicle,28-05-2026 16:41:55,main
add_employee,28-05-2026 16:43:05,main
update_employee,28-05-2026 16:44:33,main
add_customer,28-05-2026 16:45:05,main
remove_employee,28-05-2026 16:45:17,main
remove_customer,28-05-2026 16:45:32,main
customer_search,28-05-2026 16:45:43,main
